Year,Bologna_Movements,Bologna_Passengers,Bologna_Cargo_Tons,National_Avg_Passengers,National_Avg_Cargo_Tons,TOTAL_DELAY_MIN,IFR_DEPARTURES,AVG_DELAY_PER_FLIGHT,Annual_CO2_Emissions,TA_CO2_Tons
2000,61519.0,3524235.0,25033.0,5134732.277777778,44549.0,,,,469596930.0,
2001,57244.0,3440639.0,26196.0,4878604.864864865,44216.37837837838,,,,469677730.0,
2002,54956.0,3414502.0,24959.0,4934728.972972973,44562.21621621621,,,,477105500.0,
2003,56738.0,3562010.0,28212.0,5452635.891891892,47730.32432432433,,,,495092300.0,
2004,44804.0,2908271.0,21105.0,5825861.135135135,47769.18918918919,,,,500685630.0,
2005,54157.0,3690953.0,25468.0,6125575.189189189,49693.67567567567,,,,501364060.0,
2006,63585.0,4001436.0,32466.0,6687327.72972973,52670.43243243243,,,,495936900.0,
2007,66698.0,4361951.0,18700.0,7361376.216216216,55258.64864864865,,,,489653150.0,
2008,62042.0,4225446.0,26496.0,7232125.405405405,49726.32432432433,,,,478126140.0,
2009,64925.0,4782284.0,27327.0,7063978.486486486,42079.24324324324,,,,424061120.0,
2010,70269.0,5511669.0,37799.0,7558718.594594595,49663.2972972973,,,,435710340.0,12364209.652
2011,69153.0,5885884.0,43789.0,8041975.081081081,50803.89189189189,,,,423894300.0,12445506.571999999
2012,67061.0,5957853.0,40513.0,7728973.578947368,47148.31578947369,,,,403441340.0,11950238.636
2013,65392.0,6193783.0,44149.621,7585083.263157895,47736.88382105264,,,,369474700.0,11624536.354
2014,65058.0,6580389.0,41789.344,8361146.944444444,52893.71355555556,,,,349400320.0,12104894.516999999
2015,64571.0,6889742.0,40998.548,8733340.0,54751.36341666667,,,,361254340.0,12323740.211000001
2016,69697.0,7680992.0,47708.5396,8902218.324324325,56401.978854486486,19491.0,34584.0,0.5635843164469119,358144350.0,12965737.763000002
2017,71878.0,8198156.0,56132.12,8995661.743589744,58729.17907128206,17788.0,35661.0,0.4988082218670256,352678620.0,13502111.299999999
2018,71503.0,8506658.0,52681.196,9284069.3,56987.637879500006,13181.0,35713.0,0.3690812869263293,349062140.0,14339144.878
2019,77126.0,9405920.0,48832.512,9655107.3,55183.18714849999,15150.0,38559.0,0.392904380300319,339633540.0,15106921.478
2020,30139.0,2506258.0,43377.966,2581679.6097560977,41068.38917756097,2976.0,14957.0,0.1989703817610483,302602430.0,5317375.948
2021,42477.0,4103816.0,50121.161,3841495.095238095,51846.60083095238,6648.0,21104.0,0.3150113722517058,335977820.0,6811548.839049999
2022,70871.0,8496000.0,55194.605,7840073.904761905,52575.10165619048,21595.0,35332.0,0.611202309521114,340672300.0,11431253.53145
2023,78658.0,9970284.0,50994.495,9390190.666666666,51753.21129714287,24089.0,39238.0,0.6139201794179112,313460640.0,13628501.784599997
2024,83264.0,10775972.0,56371.049,10432304.095238095,59487.41003571429,19821.0,41448.0,0.4782136653155761,,15695762.06906
2025,15793.0,1994890.0,11949.826,967053.2857142856,6232.52839,1276.0,5216.0,0.2446319018404908,,
